"esoteric","understandable only by an enlightened inner circle.","adjective"
"gauche","lacking social polish.","adjective"
"prurient","characterized by lust.","adjective"
"tautology","useless repetition.","noun"
"pragmatic","concerned with practical matters.","adjective"
"moiety","one of two approximately equal parts.","noun"
"unctuous","unpleasantly and excessively suave or ingratiating.","adjective"
"pithy","concise and full of meaning.","adjective"
"circumlocution","an indirect way of expressing something.","noun"
"fatuous","devoid of intelligence.","adjective"
"paradigm","a standard or typical example.","noun"
"onus","a burdensome or difficult concern.","noun"
"chicanery","the use of tricks to deceive someone.","noun"
"expurgate","edit by omitting or modifying parts considered indelicate.","verb"
"abrogate","revoke formally.","verb"
"auspicious","indicating favorable circumstances and good luck.","adjective"
"churlish","having a bad disposition; surly.","adjective"
"abjure","formally reject or disavow a formerly held belief.","verb"
"loquacious","full of trivial conversation.","adjective"
"supercilious","having or showing arrogant disdain or haughtiness.","adjective"
"aberrant","markedly different from an accepted norm.","adjective"
"ingratiating","capable of winning favor.","adjective"
"parsimony","extreme stinginess.","noun"
"sobriquet","a familiar name for a person.","noun"
"austere","of a stern or strict bearing or demeanor.","adjective"
"rarefied","of high moral or intellectual value.","adjective"
"bibulous","given to or marked by the consumption of alcohol.","adjective"
"reify","consider an abstract concept to be real.","verb"
"susurration","an indistinct sound, as of whispering or rustling.","noun"
"recreant","having deserted a cause or principle.","adjective"
"empyrean","of or relating to the sky or heavens.","noun"
"supernumerary","more than is needed, desired, or required.","adjective"
"limn","make a portrait of.","verb"
"limpid","clear and bright.","adjective"
"magnate","a very wealthy or powerful businessperson.","noun"
"macerate","soften and cause to disintegrate as a result.","verb"
"scion","a descendent or heir.","noun"
"aardwolf","South African carnivorous fox-like quadruped","noun"
"aba","garment of camel or goat hair; camel or goat-hair fabric","noun"
"abaft","toward or at the stern of a ship; further aft","preposition"
"abapical","at the lowest point","adjective"
"abasement","action of humbling or degrading","noun"
"abdominous","having a paunch or big belly","adjective"
"abeam","in a line at right angles to the length of a vessel, on the beam","adverb"
"abecedarian","of, like or pertaining to the order of the alphabet; rudimentary","noun"
"abele","white poplar tree","noun"
"aberdevine","alternate name for the siskin","noun"
"abessive","indicating absence or lack","adjective"
"abigail","a lady's maid","noun"
"abiogenesis","spontaneous generation of living matter","noun"
"abirritate","to alleviate irritation; to reduce sensitivity","verb"
"abject","humble; miserable; craven","adjective"
"ablative","indicating direction from or time when","adjective"
"ablaut","variation in root vowel of words to change meaning","noun"
"ablepsia","blindness","n."
"abluent","cleanser or cleansing product","adjective"
"abolla","Roman military cloak","noun"
"aboral","away from the mouth","adjective"
"aborning","during birth; while being born","adverb"
"abscissa","horizontal distance from a fixed line to a point","noun"
"absinthism","disease resembling alcoholism","noun"
"absolutism","doctrine of government by a single absolute ruler; autocracy","noun"
"absolutory","forgiving or absolving","adjective"
"absorbefacient","causing or promoting absorption","adjective"
"absquatulate","to decamp; to leave quickly; to flee","verb"
"absurdism","doctrine that we live in an irrational universe","noun"
"abutment","masonry on a wall that supports an arch","noun"
"aby","to make amends; atone; pay a penalty","verb"
"academicism","doctrine that nothing can be known","noun"
"acantha","prickle","n."
"acapnia","lack or deficiency of carbon dioxide","noun"
"acariasis","irritating itching insect infestation","noun"
"acarine","of, like or pertaining to ticks or mites","noun"
"acarophobia","fear of itching or of insects causing itching","noun"
"acatalectic","having complete or full number of syllables in a poetic line","adjective"
"acatamathesia","inability to understand data presented to the senses","n."
"acaulescent","having a very short stem","adjective"
"accentor","songbird","noun"
"accidence","grammar book; science of inflections in grammar","noun"
"accidie","sloth; physical torpor","noun"
"accipiter","bandage worn around the nose","noun"
"accipitrine","of, like or pertaining to falcons and hawks","adjective"
"acclivity","upward slope","noun"
"accolade","curved architectural moulding; vertical line joining two musical staves","noun"
"accoucheur","male midwife","noun"
"accretion","accumulation; addition of parts to form a whole","noun"
"acedia","listlessness; sloth","noun"
"acerate","of, like or resembling a needle","adjective"
"acerous","lacking horns or antennae","adjective"
"acervate","heaped; clustered","adjective"
"achene","small one-seeded fruit or naked seed of plant","noun"
"acidulous","sharp or bitter-tasting","adjective"
"acinaceous","full of kernels","adjective"
"aciniform","shaped like a berry","adjective"
"acquest","object which is acquired","noun"
"acrolith","wooden statue with stone extremities","noun"
"acromegaly","glandular disorder causing gigantism of extremities","noun"
"acronym","word formed from initial letters of another word","noun"
"acropathy","disease or illness of the extremities","noun"
"acroterion","pedestal or ornament at the angle of a pediment","noun"
"actinism","action of solar radiation causing chemical change","noun"
"actinometer","instrument for measuring incident radiation","noun"
"acton","stuffed jacket worn under armour; haqueton","noun"
"aculeate","prickly; pointed; stinging; a stinging insect","adjective"
"adamantine","unbreakable; impenetrable","adjective"
"adaxial","next to or towards the axis","adjective"
"addax","spiral-horned antelope dwelling in the Sahara desert","noun"
"ademption","revocation of donation by donor","noun"
"adenology","study of glands","noun"
"adhibit","to attach; to admit; to administer","verb"
"adiabatic","without transference of heat","adjective"
"adiaphorism","doctrine of theological indifference or latitudinarianism","noun"
"adipocere","fatty substance occurring in corpses left in moist areas","noun"
"adit","opening or passage into a mine","noun"
"admeasurement","the act of measuring or apportioning","noun"
"adoral","near the mouth","adjective"
"adown","in a descending direction","adverb, preposition"
"adscript","attached or feudally bound to the soil or earth","adjective"
"adumbrate","indicate faintly; foreshadow","verb"
"advection","horizontal movement of air","noun"
"adventive","a thing or person coming from outside","adjective"
"adversative","word or phrase expressing opposition","adjective"
"advertorial","advertisement presented as if it were editorial material","noun"
"advocaat","liqueur containing rum and raw eggs","noun"
"adynamia","helplessness; lack of strength","noun"
"adytum","sacred part of a temple or church; church chancel","noun"
"aedile","magistrate in charge of games, markets or buildings","noun"
"aegrotat","medical certificate of illness excusing student's sickness","noun"
"aeonian","lasting for an immeasurably long period of time","adjective"
"aerenchyma","respiratory tissue","noun"
"aerobiology","study of airborne organisms","noun"
"aerogenesis","forming or generating gas or air","n."
"aerolite","meteorite","noun"
"aeromancy","divination by means of the weather","noun"
"aerophobia","fear of flying or draughts","noun"
"aerophore","instrument used to inflate stillborn child's lungs","noun"
"aerostat","any lighter-than air craft; balloon","noun"
"aeruginous","of, like or pertaining to copper-rust or verdigris","adjective"
"aesthesia","sensibility","noun"
"aestheticism","doctrine that beauty is central to other moral principles","noun"
"afferent","bearing, bringing or carrying towards","adjective"
"affine","a relation by marriage","noun"
"afflatus","inspiration; divine impetus","noun"
"afforest","to cover with forest; to convert into hunting grounds","verb"
"affray","an attack or assault; an alarm or fright","noun"
"affreightment","hiring of a vessel","noun"
"affricate","consonant that begins as a plosive and ends as a fricative","noun"
"affusion","pouring on; as of baptismal water","noun"
"afterclap","unexpected damaging or unsettling after-effect","noun"
"afterpiece","minor piece after a play","noun"
"agalactia","failure or inability to produce milk","noun"
"agape","selfless Christian love; a feast in celebration of such love","adverb, adjective"
"agentive","indicating agent performing an action","adjective"
"agger","artificial mound or elevation for military use","noun"
"aggiornamento","modernization of ideas of the Catholic church","noun"
"aggrandize","increase power or rank of; make greater","verb"
"agiotage","playing the stock market; speculation","noun"
"agistment","land tax assessed for cattle pasturing","noun"
"agma","symbol or sound for a velar nasal consonant ","noun"
"agnail","sore, corn or hangnail on the toe or foot","noun"
"agnomen","additional name; surname; nickname","noun"
"agogic","accenting a musical note by slightly dwelling on it","noun"
"agone","ago","adverb, adjective"
"agonistic","of, like or pertaining to or being aggressive or argumentative","adjective"
"agoraphobia","fear of open spaces","noun"
"agrapha","sayings of Jesus not found in the canonical gospels","noun"
"agravic","having no gravity; pertaining to the condition of zero-gravity","adjective"
"agriology","the comparative study of primitive peoples","noun"
"agrology","study of agricultural soils","noun"
"agronomics","study of productivity of land","noun"
"agrostology","science or study of grasses","noun"
"agrypnotic","anything taken to aid wakefulness","adjective"
"ahimsa","the duty of sparing animal life; non-violence","noun"
"ai","three-toed sloth","noun"
"aiguille","sharp; needle-like peak of rock","noun"
"ailette","plate of armour worn on shoulder","noun"
"ailurophilia","love of cats","noun"
"aioli","garlic-flavoured mayonnaise","noun"
"ait","small island in lake or river","noun"
"akinesia","loss of ability to move","noun"
"alabamine","alternate name for the element astatine","noun"
"alalia","loss of ability to speak","noun"
"alamode","lightweight glossy silk","noun"
"alannah","term of endearment used with one's child","interjection"
"alb","long white robe worn by priests","noun"
"albata","variety of German silver","noun"
"albedo","whiteness, as of a celestial object","noun"
"alcahest","alchemical universal solvent","noun"
"alectryomancy","divination by watching a rooster gather corn kernels","noun"
"alegar","vinegar made by turning ale sour","noun"
"aleuromancy","divination using flour or meal","noun"
"alexipharmic","antidote","adjective"
"algicide","killer of algae","noun"
"algology","study of algae","noun"
"algor","coldness; shivering fit","noun"
"alible","nourishing","adjective"
"alidade","revolving index on astrolabe or other instrument for reading gradations","noun"
"aliform","wing-shaped","adjective"
"aliphatic","of, like or pertaining to fat or fats in general","adjective"
"aliquot","number dividing into another without leaving a remainder","adjective"
"aliunde","from elsewhere","adverb, adjective"
"alkalimeter","instrument for measuring strength of alkalines","noun"
"allantiasis","food poisoning resulting from inadequate preservation","n."
"allative","indicating movement towards","adjective"
"allemande","courtly baroque dance in which the arms are interlaced","noun"
"allolalia","speech disorder featuring randomly spoken words","n."
"allonym","other person's name used by an author","noun"
"allotropy","of an element, having more than one form","noun"
"almoner","giver of alms; social worker in a hospital","noun"
"alpaca","fine wool made from alpaca hair","noun"
"altarage","payment to priest for mass; offerings at altar","noun"
"altricial","having young requiring care for a lengthy period","adjective"
"aluminiferous","bearing aluminum","adjective"
"alveolate","of or like a honeycomb","adjective"
"ama","a Japanese pearl-diver","noun"
"amain","to a high degree; exceedingly; at full speed","adverb"
"amanuensis","one employed to write from dictation","noun"
"amaranthine","immortal; undying; deep purple-red colour","adjective"
"ambeer","juice from chewing tobacco","noun"
"ambit","circuit; scope; compass; confines","noun"
"ambry","recess for church vessels; cupboard or niche","noun"
"ambulatory","aisle down the east end of a church","adjective"
"amerce","to fine; to deprive; to punish","verb"
"amice","strip of fine linen worn as cloak or wrap by priest at mass","noun"
"ammeter","instrument for measuring electrical current","noun"
"amoretto","a cherub or spirit of love","noun"
"amphibology","ambiguity in language; dual grammatical meaning","noun"
"amphigory","a nonsense verse","noun"
"amphiscian","of, like or pertaining to torrid regions","plural noun"
"amplexus","rutting of frogs and toads","noun"
"amrita","Hindu ambrosia bestowing immortality","noun"
"amyloid","containing or pertaining to starch; starchy","noun"
"anabasis","journey leading upwards; first phase of an illness","noun"
"anaclitic","dependent on other phenomenon or ability","adjective"
"anacoluthon","moving to new topic of discussion before finishing current one","noun"
"anacrusis","syllable prior to the normal rhythm of a verse","noun"
"anadem","wreath, fillet or band","noun"
"anadromous","fish which ascend rivers to spawn","adjective"
"anaesthesiology","study of anaesthetics","noun"
"anaglyph","ornament in low relief","noun"
"anagogy","mystical interpretation","noun"
"analects","crumbs that fall from the table","plural noun"
"anamnesis","reminiscence; prayer recalling death and resurrection of Jesus","noun"
"anaphora","repetition of a word at beginning of successive phrases for emphasis","noun"
"anatine","of, like or pertaining to ducks","adjective"
"anchorite","one withdrawn from the world for religious reasons","noun"
"ancon","elbow","noun"
"andiron","iron bar used to support the end of a log in a fire","noun"
"androcracy","government by men","noun"
"anele","to administer extreme unction to","verb"
"anemograph","instrument for measuring pressure and velocity of wind","noun"
"anemology","study of winds","noun"
"anemophilous","pollinated by wind","adjective"
"anent","about; concerning","preposition"
"anfractuous","full of windings and intricate turnings","adjective"
"angelology","study of angels","noun"
"angiography","description or examination of the blood vessels","noun"
"anguine","of, like or pertaining to snakes","adjective"
"anhinga","long-necked fish-eating tropical American bird","noun"
"animadvert","to comment critically on; to censure","verb"
"animism","attribution of soul to inanimate objects","noun"
"ankus","spiked elephant goad","noun"
"ankyroid","hook-shaped","adjective"
"anneal","to heat and cool metal gradually to temper","verb"
"annulose","ringed; composed of rings","adjective"
"anodyne","something that relieves pain or suffering","noun"
"anomia","inability to remember names","noun"
"anomie","condition of lacking accepted social values or standards","noun"
"anon","at once; immediately","adverb"
"anta","pier produced by thickening wall at one end","noun"
"antanaclasis","repetition of key word of phrase as a play on words","noun"
"antechapel","anteroom to a chapel or church","noun"
"antependium","covering or cloth over pulpit or altar","noun"
"anthropocentrism","belief that humans are central to the universe","noun"
"anthroposophy","knowledge of the nature of humanity; human wisdom","noun"
"antiblastic","providing natural immunity against harmful substances","adjective"
"anticlimax","expression whose last part is decreased in effect from the prior part","noun"
"antidisestablishmentarianism","doctrine opposed to removing Church of England's official religion status","noun"
"antilegomena","books of the New Testament not part of early Christian Bible","noun"
"antilogism","statement of three propositions containing contradiction","noun"
"antinomianism","doctrine of the rejection of moral law","noun"
"antiphon","anthem sung as a response during church service","noun"
"antistrophe","repetition of words in reverse order","noun"
"antre","cave","noun"
"anurous","tailless","adjective"
"aorist","expressing simple past time with no continuance","noun"
"apatetic","of an animal's coloration or markings","adjective"
"aphagia","inability to eat or swallow","noun"
"apheresis","taking away a sound or syllable at the beginning of a word","noun"
"aphotic","lightless","adjective"
"apian","of, like or pertaining to bees","adjective"
"apical","of or at the apex","adjective"
